TechStack,Links
"Fullstack React,Node.js,MongoDB,Express.js",https://github.com/Jansu1/AlumniNetwork
"Kotlin,Android",https://github.com/Jansu1/Suraksha-Malware-Detection-Backend
"AI Chatbots,streamlit,python,transformers",https://github.com/Jansu1/RAG-Chatbot
"Only React,Frontend",https://github.com/Jansu1/Time-Zone-Converter
"Html,CSS,Bootstrap",https://github.com/Jansu1/ProjectAlumni
"GenerativeAI,langchain,python,Streamlit",https://github.com/Jansu1/Cold_Email_Generator
"AI,Machine Learning,opencv,mediapipe",https://github.com/Jansu1/AI-Virtual-Keyboard-Using-OpenCV
"Machine Learning,Python,TensorFlow",https://github.com/Jansu1/Multi-Organ-Segmentation
